;2021-05-18;2021-05-25;2021-06-01
pop it;2;2;1
fidget toys;1;1;2
iphone;4;4;3
fathers day gifts;24;7;4
bluetooth headphones;6;5;5
earbuds;5;6;6
ps5;27;33;7
pool;81;21;8
apple watch band;11;9;9
dresses;17;8;10
outdoor lights;13;12;11
summer dresses;414;54;12
crocs;14;11;13
apple;9;10;14
womens summer tops;122;22;15
